#SampleID	Species	Year	Type	Plate	Well
ATPU22_152	ATPU	2022	SAMPLE	2	
ATPU22_153	ATPU	2022	SAMPLE	2	
ATPU22_154	ATPU	2022	SAMPLE	2	
ATPU22_155	ATPU	2022	SAMPLE	2	
BLANK_ATPU2-6	EXT_BLANK	NA	EXT_BLANK	2	
ATPU22_156	ATPU	2022	SAMPLE	2	
ATPU22_157	ATPU	2022	SAMPLE	2	
ATPU22_158	ATPU	2022	SAMPLE	2	
ATPU22_159	ATPU	2022	SAMPLE	2	
ATPU22_160	ATPU	2022	SAMPLE	2	
ATPU22_161	ATPU	2022	SAMPLE	2	
ATPU22_162	ATPU	2022	SAMPLE	2	
ATPU22_163	FLD_BLANK	2022	FLD_BLANK	2	
ATPU22_164	ATPU	2022	SAMPLE	2	
ATPU22_165	ATPU	2022	SAMPLE	2	
ATPU22_166	ATPU	2022	SAMPLE	2	
ATPU22_167	ATPU	2022	SAMPLE	2	
ATPU22_168	ATPU	2022	SAMPLE	2	
ATPU22_169	ATPU	2022	SAMPLE	2	
BLANK_ATPU2-7	EXT_BLANK	NA	EXT_BLANK	2	
ATPU22_170	ATPU	2022	SAMPLE	2	
ATPU22_171	ATPU	2022	SAMPLE	2	
ATPU22_172	ATPU	2022	SAMPLE	2	
PCR_BLANK_ATPU2-2	PCR_BLANK	NA	PCR_BLANK	2	
MOCK_ATPU3-1	MOCK	NA	MOCK	3	
PCR_BLANK_ATPU3-1	PCR_BLANK	NA	PCR_BLANK	3	
ATPU22_173	ATPU	2022	SAMPLE	3	
ATPU22_174	ATPU	2022	SAMPLE	3	
ATPU22_175	ATPU	2022	SAMPLE	3	
ATPU22_176	ATPU	2022	SAMPLE	3	
ATPU22_177	ATPU	2022	SAMPLE	3	
ATPU22_178	ATPU	2022	SAMPLE	3	
ATPU22_179	ATPU	2022	SAMPLE	3	
BLANK_ATPU3-1	EXT_BLANK	NA	EXT_BLANK	3	
ATPU22_180	ATPU	2022	SAMPLE	3	
ATPU22_181	ATPU	2022	SAMPLE	3	
ATPU22_182	ATPU	2022	SAMPLE	3	
ATPU22_183	FLD_BLANK	2022	FLD_BLANK	3	
ATPU22_184	ATPU	2022	SAMPLE	3	
ATPU22_185	ATPU	2022	SAMPLE	3	
ATPU22_186	ATPU	2022	SAMPLE	3	
ATPU22_187	ATPU	2022	SAMPLE	3	
ATPU22_188	ATPU	2022	SAMPLE	3	
ATPU22_189	ATPU	2022	SAMPLE	3	
ATPU22_190	ATPU	2022	SAMPLE	3	
ATPU22_191	ATPU	2022	SAMPLE	3	
ATPU22_192	ATPU	2022	SAMPLE	3	
ATPU22_193	ATPU	2022	SAMPLE	3	
ATPU22_194	ATPU	2022	SAMPLE	3	
ATPU22_195	ATPU	2022	SAMPLE	3	
ATPU22_196	ATPU	2022	SAMPLE	3	
BLANK_ATPU3-2	EXT_BLANK	NA	EXT_BLANK	3	
ATPU22_197	ATPU	2022	SAMPLE	3	
ATPU22_198	ATPU	2022	SAMPLE	3	
ATPU22_199	ATPU	2022	SAMPLE	3	
ATPU22_200	ATPU	2022	SAMPLE	3	
ATPU22_201	ATPU	2022	SAMPLE	3	
ATPU22_202	ATPU	2022	SAMPLE	3	
ATPU22_203	ATPU	2022	SAMPLE	3	
ATPU22_204	ATPU	2022	SAMPLE	3	
ATPU22_205	ATPU	2022	SAMPLE	3	
ATPU22_206	ATPU	2022	SAMPLE	3	
ATPU22_207	ATPU	2022	SAMPLE	3	
ATPU22_208	ATPU	2022	SAMPLE	3	
ATPU22_209	ATPU	2022	SAMPLE	3	
ATPU22_210	ATPU	2022	SAMPLE	3	
ATPU22_211	ATPU	2022	SAMPLE	3	
ATPU22_212	ATPU	2022	SAMPLE	3	
ATPU22_213	ATPU	2022	SAMPLE	3	
ATPU22_214	ATPU	2022	SAMPLE	3	
BLANK_ATPU3-3	EXT_BLANK	NA	EXT_BLANK	3	
ATPU22_215	ATPU	2022	SAMPLE	3	
ATPU22_216	ATPU	2022	SAMPLE	3	
ATPU22_217	ATPU	2022	SAMPLE	3	
ATPU22_218	ATPU	2022	SAMPLE	3	
ATPU22_219	ATPU	2022	SAMPLE	3	
ATPU22_220	ATPU	2022	SAMPLE	3	
ATPU22_221	ATPU	2022	SAMPLE	3	
ATPU22_222	ATPU	2022	SAMPLE	3	
ATPU22_223	ATPU	2022	SAMPLE	3	
ATPU22_224	ATPU	2022	SAMPLE	3	
ATPU22_225	ATPU	2022	SAMPLE	3	
ATPU21_1	ATPU	2021	SAMPLE	3	
ATPU21_2	ATPU	2021	SAMPLE	3	
ATPU21_3	ATPU	2021	SAMPLE	3	
ATPU21_4	ATPU	2021	SAMPLE	3	
ATPU21_5	ATPU	2021	SAMPLE	3	
BLANK_ATPU3-4	EXT_BLANK	NA	EXT_BLANK	3	
BLANK_ATPU3-5	EXT_BLANK	NA	EXT_BLANK	3	
ATPU21_6	ATPU	2021	SAMPLE	3	
ATPU21_7	ATPU	2021	SAMPLE	3	
